"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1901136265468408296","Sun Mar 16 04:59:41 +0000 2025","12","58% itu cuma pemanis. Jabatan Prabowo clear bukan murni pilihan rakyat tapi pilihan jokowi https://t.co/WVacyiwSYy","1901136265468408296","https://pbs.twimg.com/ext_tw_video_thumb/1901136224657838080/pu/img/IO7AvpK16XUN_F9U.jpg","","in","","0","1","4","https://x.com/patillele4364/status/1901136265468408296","1690386319321743360","patillele4364"
"1900759798683234787","Sat Mar 15 04:03:45 +0000 2025","38","SIAPKAN BEBERAPA HAL DALAM AKSI DEMO AKSI INDONESIA GELAP JILID 2 HIDUP RAKYAT HIDUP MAHASISWA HIDUP KORUPTOR HIDUP JOKOWI #PrabowoGibranMundurAja #PrabowoGibranMundurAja https://t.co/t9fPNKiIGn","1900759798683234787","https://pbs.twimg.com/ext_tw_video_thumb/1900759768412942337/pu/img/6dB41fgvWASiARx_.jpg","","in","","0","3","15","https://x.com/P3JU4N90P05iSi/status/1900759798683234787","1843837983457447936","P3JU4N90P05iSi"
"1902331295017136284","Wed Mar 19 12:08:18 +0000 2025","29","Diberhentikan sepihak TPP eks Caleg ganti dgn eks Caleg juga itu evaluasi yg kau mainkan...licik #Pendampingdesaexcaleg_berduka @prabowo @cak_imin @CucunA44 @SyaifulHooda @gibran_tweet @puanmaharani_ri @jokowi @Rusdin. https://t.co/zT7lvkdLtc","1902331295017136284","https://pbs.twimg.com/ext_tw_video_thumb/1902331197411487747/pu/img/Vsu7a0pyIyzwRgqy.jpg","","in","","0","3","22","https://x.com/AbuYus79147958/status/1902331295017136284","1323675086193270784","AbuYus79147958"
"1901993741667418514","Tue Mar 18 13:47:00 +0000 2025","791","Bukti ijasah Jokowi palsu dibongkar alumni UGM sdri. @BabehAldoAje135 @kholidmiqdar @Nicho_Silalahi (1) (2) (3) .....(8) https://t.co/oxdjCC5l6g","1901993741667418514","https://pbs.twimg.com/ext_tw_video_thumb/1901992853422981121/pu/img/xLPu7uMmfd1PK5B7.jpg","","in","","4","5","400","https://x.com/H4T14K4LN4L42/status/1901993741667418514","1129672753651388416","H4T14K4LN4L42"
"1899863707343282199","Wed Mar 12 16:43:00 +0000 2025","12183","Koalisi elemen masyarakat dan mahasiswa bersatu menyerukan agar adili Jokowi dan makzulkan Gibran https://t.co/o72ZBM5gdG","1899863707343282199","https://pbs.twimg.com/ext_tw_video_thumb/1899863666675113984/pu/img/Vdd_pTJl9sPIPlQQ.jpg","","in","","47","142","3545","https://x.com/H4T14K4LN4L42/status/1899863707343282199","1129672753651388416","H4T14K4LN4L42"
"1901658774987059561","Mon Mar 17 15:35:57 +0000 2025","1868","Pak @prabowo baik ya Sama Pak Jokowi Sampai dia Lupa Kalau yg Memilih Prabowo itu Rakyat ... Hidup Jokowi ... Hidup Jokowi https://t.co/L7uj6uCmvO","1901658774987059561","https://pbs.twimg.com/ext_tw_video_thumb/1901658732188348416/pu/img/uCkU5nt5uceKVHDo.jpg","","in","","8","23","699","https://x.com/Yurissa_Samosir/status/1901658774987059561","1456283686312103939","Yurissa_Samosir"
"1902376352378188284","Wed Mar 19 15:07:21 +0000 2025","47","Yang diinginkan rakyat Undang Undang Perampasan Aset Untuk Koruptor Eh Yang Garap &amp; Disahkan Malah RUU TNI &amp; Undang Undang Perampasan Aset Rakyat ____ Australia Sunda #TimnasDay https://t.co/ro53wkEWUt","1902376352378188284","https://pbs.twimg.com/ext_tw_video_thumb/1902376245293412356/pu/img/PfcUR32LYlRGR0Wr.jpg","","in","","1","0","23","https://x.com/As_Ali4sghar/status/1902376352378188284","1860005958229143552","As_Ali4sghar"
"1901747220103516460","Mon Mar 17 21:27:24 +0000 2025","23","Sudahlah Pak Prabowo Jangan Omon Omon Terus ___ Innalillahi Polisi SERIBU RUPIAH #UGDarurat #BibirYangTelahDicuri https://t.co/lmGI2L5vrx","1901747220103516460","https://pbs.twimg.com/ext_tw_video_thumb/1901747185328525313/pu/img/yxRGV1KsE6R_xBDo.jpg","","in","","2","3","10","https://x.com/As_Ali4sghar/status/1901747220103516460","1860005958229143552","As_Ali4sghar"
"1900558502353064330","Fri Mar 14 14:43:52 +0000 2025","261","Orang hukum kok menuduh Pak Jokowi tanpa bukti...orang hukum itu bicara fakta &amp; bukti akurat cuzx !!! https://t.co/0zKZIVgcMb","1900558502353064330","https://pbs.twimg.com/ext_tw_video_thumb/1900558431389655040/pu/img/n8gB1NBBoWEu2pvU.jpg","","in","","19","149","66","https://x.com/tham878/status/1900558502353064330","1759100655783043072","tham878"
"1901647624102609384","Mon Mar 17 14:51:39 +0000 2025","224","Cecunguk @deddysitorus mendadak melempem. Nanti klo kasus korupsinya sdh ditangani KPK ujungnya pasti Pak Jokowi yg disalahin. Kader mental kutukupret begini cuma jadi benalu partai. @PDI_Perjuangan https://t.co/FFJdZDn1h4","1901647624102609384","https://pbs.twimg.com/ext_tw_video_thumb/1901647589306662912/pu/img/eB1jTtb3egw9vEBF.jpg","","in","DKI Jakarta, Indonesia","3","46","55","https://x.com/Franken_blues/status/1901647624102609384","1301242545888849921","Franken_blues"
"1899865702678565364","Wed Mar 12 16:50:55 +0000 2025","7407","Pribumi sudah Siap perang ambil alih miliknya yg dirampas TKA China peninggalan Jokowi https://t.co/MwKFd9vhDo","1899865702678565364","https://pbs.twimg.com/ext_tw_video_thumb/1899865652263084033/pu/img/UdqX9tl4ePeLGW9v.jpg","","in","","65","302","2200","https://x.com/H4T14K4LN4L42/status/1899865702678565364","1129672753651388416","H4T14K4LN4L42"
"1902270851770118180","Wed Mar 19 08:08:08 +0000 2025","20","BISNIS KELUARGA CENDANA ANAK ANAK JOKOWI MAH GAK BAKAL MAMFAATIN JABATAN BAPAKNYA Belakangan Orde Baru juga diwarnai tingkah-polah bisnis anak-anak Soeharto. Ini cuplikan cerita yang pernah menghebohkan itu. Sumber video : akun X @psi_id https://t.co/DLfECKUF0A","1902270851770118180","https://pbs.twimg.com/ext_tw_video_thumb/996166246923059200/pu/img/NL_CC93NIbvdYQAU.jpg","","in","PLUIT","0","1","5","https://x.com/KangManto123/status/1902270851770118180","947632364003368961","KangManto123"
"1902577165834866821","Thu Mar 20 04:25:19 +0000 2025","1003","Jadi presiden cuma buat nuntasin inner childnya doang dan menuhin ego sisa-sisa parasite Jokowi bangsaaaattttttt.","1902577165834866821","","","in","","9","0","527","https://x.com/Mojaova/status/1902577165834866821","1798588048600662016","Mojaova"
"1901942887060832270","Tue Mar 18 10:24:55 +0000 2025","161","Difitnah main dua kaki. Difitnah tunduk sama Jokowi. Difitnah pragmatis. Tapi sama Bu Megawati selalu dapat kepercayaan. Artinya fitnah mereka gagal total. Setelah dapat tugas jadi pimpinan MPR komandan Pacul juga dpt kehormatan Menempati Bekas Ruangan Alm. Taufiq Kiemas. https://t.co/wQQuc5t0q9","1901942887060832270","https://pbs.twimg.com/ext_tw_video_thumb/1901942651424997376/pu/img/aNml7ny4EpwPxUda.jpg","","in","Indonesia","6","23","53","https://x.com/Anak__Ogi/status/1901942887060832270","1356517931887120384","Anak__Ogi"
"1900548677690949860","Fri Mar 14 14:04:49 +0000 2025","14","Hidup jokowi https://t.co/iVDfU1LlVY","1900548677690949860","https://pbs.twimg.com/ext_tw_video_thumb/1900548565770129408/pu/img/yRwe3mXBaWzSt-H4.jpg","","in","Bruno, Indonesia","3","7","7","https://x.com/JaenoXTM/status/1900548677690949860","1333960134452625410","JaenoXTM"
"1900804954149077024","Sat Mar 15 07:03:10 +0000 2025","3932","JOKOWI MENCEGAH LAPORAN KORUPSI PETRAL KE KPK? Jokowi mencegah Sudirman Said membawa hasil audit forensik kasus Petral ke KPK ini valid. sejak dicegah berhentilah semua kasus di Petral dan tidak ada satu pun yang ditersangkakan. Kata Fahmy Radhi Pengamat Ekonomi Energi UGM https://t.co/OOvwmdGQeq","1900804954149077024","https://pbs.twimg.com/ext_tw_video_thumb/1900804641367171072/pu/img/Oz7cNwsVWFZ2cxEa.jpg","","in","Jakarta","44","201","1496","https://x.com/GunRomli/status/1900804954149077024","45602536","GunRomli"
"1902658296802357749","Thu Mar 20 09:47:42 +0000 2025","65","ANGGARAN APBN 1850 T HUTANG KITA 2400 T KORUPSI KITA DI SATU BIDANG 7000 T Prabowo teriak HIDUP JOKOWI https://t.co/5MNt3q7fae","1902658296802357749","https://pbs.twimg.com/ext_tw_video_thumb/1902658263780618240/pu/img/8Mu5Ovdja0IwoZ2v.jpg","","in","","1","1","59","https://x.com/Boediantar4/status/1902658296802357749","1383750727575605257","Boediantar4"
"1750082386212315255","Wed Jan 24 09:05:30 +0000 2024","3048","Tolong Viralkan!!! Gas bantu up yuk anak bapak ini usia 13tahun diperkosa dan pelakunya cuman dihukum 3 bulan penjara bapaknya jalan kaki ke jakarta buat nemuin pak jokowi minta keadilan. https://t.co/smXyo6jBoH","1750082386212315255","https://pbs.twimg.com/media/GEmKpwCacAA3BzU.jpg","","in","대전","37","182","1128","https://x.com/kegblgnunfaedh/status/1750082386212315255","1172167188800655360","kegblgnunfaedh"
"1900043376533115121","Thu Mar 13 04:36:56 +0000 2025","165","Ahok‼️ Bukan siapa² jika tanpa pertolongan Jokowi... https://t.co/Li0i5I6gYk","1900043376533115121","https://pbs.twimg.com/ext_tw_video_thumb/1900043342743814144/pu/img/jXZ42NEi8NT3l_Gs.jpg","","in","East Java, Indonesia","8","114","25","https://x.com/_MbakSri_/status/1900043376533115121","1265895268936904709","_MbakSri_"
"1900789223923609834","Sat Mar 15 06:00:40 +0000 2025","836","SETIAP TAHUN MENGELUARKAN UANG 600 T TIDAK MERUBAH APA-APA ‼️ Terus harus bilang HIDUP JOKOWI gitu?? https://t.co/tTdXvOHsgx","1900789223923609834","https://pbs.twimg.com/ext_tw_video_thumb/1900789175328378880/pu/img/olQfr6phDGL_K4K6.jpg","","in","","17","46","407","https://x.com/Boediantar4/status/1900789223923609834","1383750727575605257","Boediantar4"
"1902025757330911666","Tue Mar 18 15:54:13 +0000 2025","25","Hutang BUMN dijaman Jokowi yg semakin menggunung ditambah lagi pemangkasan anggaran Kepada PU membuat kondisi keuangan BUMN karya makin berdarah-darah. Rating dari pefindo makin turun harga saham yg tak lagi bersaing serta hutang jangka pendek yg akan jatuh tempo makin membuat https://t.co/BLv2kCeaN1","1902025757330911666","https://pbs.twimg.com/ext_tw_video_thumb/1902024702778118144/pu/img/hAXBR1wdu2Cra6rl.jpg","","in","Zimbabwe ","0","7","10","https://x.com/V3g3L/status/1902025757330911666","224431376","V3g3L"
"1902116062973538712","Tue Mar 18 21:53:03 +0000 2025","65","Amblesnya IHSG di BEI Itu Respon dari Kebijakan Prabowo Sudahlah Akui Saja kalau pengen Selamat yaaa Rakyat Teriak ADILI JOKOWI Eh Prabowo Teriak HIDUP JOKOWI Rakyat pengen Undang² Perampasan Aset Eh yg digarap malah RUU TNI __ Lampung Innalillahi Bahrain 2-2 Indonesia https://t.co/STJG9HCSAG","1902116062973538712","https://pbs.twimg.com/ext_tw_video_thumb/1902116017532497921/pu/img/NsfOzE2dFxWAPkjW.jpg","","in","Makarti Jaya, Indonesia","0","1","28","https://x.com/el_utara/status/1902116062973538712","1861979573602455552","el_utara"
"1900788298538512565","Sat Mar 15 05:56:59 +0000 2025","4772","UGM AKAN DIGRUDUK UNTUK MENANYAKAN IJAZAH ASLI JOKOWI https://t.co/j1xTwon2fZ","1900788298538512565","https://pbs.twimg.com/ext_tw_video_thumb/1900788271757881352/pu/img/TPdU_TR-b7jMHp1e.jpg","","in","","46","295","1763","https://x.com/Boediantar4/status/1900788298538512565","1383750727575605257","Boediantar4"
"1900561097540940285","Fri Mar 14 14:54:11 +0000 2025","177","Joko Widodo mempersilakan politikus PDI-P Deddy Yevri Sitorus untuk mengungkap identitas utusan yang disebut-sebut meminta pembatalan pemecatannya dari PDIP serta pencopotan Hasto Kristiyanto dari jabatan Sekretaris Jenderal PDIP. / #Jokowi #PDIP https://t.co/lYoxOzhfUX","1900561097540940285","https://pbs.twimg.com/media/GmAmJF_bAAAMhWz.jpg","","in","Jakarta","10","39","42","https://x.com/kompascom/status/1900561097540940285","23343960","kompascom"
"1901917713372438929","Tue Mar 18 08:44:53 +0000 2025","20","Rakyat diperas tanpa batas BAHLIL SNBP Bursa Efek Indonesia Hidup Jokowi https://t.co/Hmm0inDghv","1901917713372438929","https://pbs.twimg.com/media/GmT4FMzbkAA0yDN.jpg","","in","Makassar, Sulawesi Selatan","0","4","4","https://x.com/DenmasSojo/status/1901917713372438929","238384121","DenmasSojo"
"1750402832724050165","Thu Jan 25 06:18:50 +0000 2024","720","Pak Jokowi ampe kaget . Cr: asharii https://t.co/r92dN3VWQK","1750402832724050165","https://pbs.twimg.com/amplify_video_thumb/1750402657473515521/img/4N5FntpLLdQLCnP5.jpg","","in","대전","30","175","81","https://x.com/kegblgnunfaedh/status/1750402832724050165","1172167188800655360","kegblgnunfaedh"
"1899870023898062933","Wed Mar 12 17:08:06 +0000 2025","179","Jiwa yg mandiri tak di setir sifat aslinya kembali melawan kebodohan kebohongan ketidak Adilan kebobrokan sistim era Jokowi - Prabowo. https://t.co/p9gDVVDoUl","1899870023898062933","https://pbs.twimg.com/ext_tw_video_thumb/1899869962329579520/pu/img/jh9Swr2UxRM8Z2aZ.jpg","","in","","0","8","59","https://x.com/H4T14K4LN4L42/status/1899870023898062933","1129672753651388416","H4T14K4LN4L42"
